vacancy_id,technology,frequency,category,level,domain,fgos_competencies,prof_standards
122397300,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122397300,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122397300,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122397300,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122385329,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122385329,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122349389,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122320108,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122320108,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122320108,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122393629,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122393629,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122290035,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122369295,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122369295,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122237214,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122237214,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122237214,React,1,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122237214,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122237214,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122195136,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122195136,JavaScript,3,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122195136,React,8,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
122195136,Git,2,Инструмент,basic,development,ПК-1,06.001_A
121950103,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121950103,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122167586,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122167586,SQL,3,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122167586,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122324071,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122324071,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122324071,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122427569,Python,7,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122427569,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122241027,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122241027,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122350223,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122350223,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122350223,Docker,5,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122350223,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122319017,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122319017,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122319017,Docker,4,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122277305,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122277305,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122277305,Git,1,Инструмент,basic,development,ПК-1,06.001_A
121344844,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121344844,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
121344844,React,2,Фреймворк,middle,frontend,"ПК-1,ПК-2",06.001_A
121344844,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122151360,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122151360,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122151360,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122298085,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122298085,Docker,3,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122217332,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122217332,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122217332,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122385683,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122385683,JavaScript,1,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
122385683,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122385683,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122385683,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122415405,Python,4,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122415405,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122359713,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121505275,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
121505275,JavaScript,3,Язык программирования,middle,frontend,"ПК-1,ПК-2",06.001_A
121505275,Git,3,Инструмент,basic,development,ПК-1,06.001_A
122276473,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122276473,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122276473,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122335206,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122353256,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122353256,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122353256,Docker,3,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122353256,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122320970,Python,3,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122320970,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122320970,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122187401,Python,5,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122187401,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122187401,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122187401,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122366119,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122366119,Git,2,Инструмент,basic,development,ПК-1,06.001_A
122188977,Python,6,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122188977,SQL,2,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122188977,Docker,2,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122239781,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122239781,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122389549,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122307990,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122307990,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122307990,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122238609,Python,1,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
122238609,SQL,1,База данных,basic,data,"ПК-2,ПК-3","06.001_B,06.022_A"
122238609,Docker,1,DevOps,advanced,infrastructure,"ПК-3,ПК-4",06.001_C
122238609,Git,1,Инструмент,basic,development,ПК-1,06.001_A
122360412,Python,2,Язык программирования,middle,backend,"ПК-1,ПК-2,ПК-3","06.001_A,06.001_B"
