Стандарт,OTF_код,OTF_наименование,TD_код,TD_наименование
06.001, A, Разработка и отладка программного кода, A/01.3, Формализация и алгоритмизация поставленных задач
06.001, A, Разработка и отладка программного кода, A/02.3, Написание программного кода с использованием языков программирования
06.001, A, Разработка и отладка программного кода, A/03.3, Оформление программного кода в соответствии с требованиями
06.001, A, Разработка и отладка программного кода, A/04.3, Работа с системой управления версиями
06.001, A, Разработка и отладка программного кода, A/05.3, Проверка и отладка программного кода
06.001, B, Проверка работоспособности и рефакторинг, B/01.4, Разработка процедур проверки работоспособности
06.001, B, Проверка работоспособности и рефакторинг, B/02.4, Разработка тестовых наборов данных
06.001, B, Проверка работоспособности и рефакторинг, B/03.4, Проверка работоспособности программного обеспечения
06.001, B, Проверка работоспособности и рефакторинг, B/04.4, Рефакторинг и оптимизация кода
06.001, C, Интеграция и проверка выпусков, C/01.5, Разработка процедур интеграции модулей
06.001, C, Интеграция и проверка выпусков, C/02.5, Интеграция программных модулей и компонентов
06.001, D, Разработка требований и проектирование, D/01.6, Анализ требований к ПО
06.001, D, Разработка требований и проектирование, D/02.6, Разработка технических спецификаций
06.001, D, Разработка требований и проектирование, D/03.6, Проектирование программного обеспечения
06.022, A, Техническое сопровождение проектирования системы, A/01.4, Сбор исходных данных для проектирования
06.022, A, Техническое сопровождение проектирования системы, A/02.4, Изучение деятельности подлежащей автоматизации
06.022, A, Техническое сопровождение проектирования системы, A/03.4, Изучение устройства и работы систем-аналогов
06.022, A, Техническое сопровождение проектирования системы, A/04.4, Извлечение и описание данных из аналогов
06.022, A, Техническое сопровождение проектирования системы, A/05.4, Оформление документации обследования и проектирования
06.022, A, Техническое сопровождение проектирования системы, A/06.4, Постановка задач и разработка требований элементу поставки
06.022, B, Техническое проектирование системы, B/01.5, Систематизация фактов и требований
06.022, B, Техническое проектирование системы, B/02.5, Логическое проектирование системы
06.022, B, Техническое проектирование системы, B/03.5, Разработка технических решений
06.022, C, Концептуально-логическое проектирование системы, C/01.6, Выявление требований к системе
06.022, C, Концептуально-логическое проектирование системы, C/02.6, Обследование текущей ситуации
06.022, C, Концептуально-логическое проектирование системы, C/03.6, Концептуально-логическое проектирование
06.022, D, Управление аналитиками и проектом, D/01.7, Планирование и организация работ
